Id,Sales
1,4235.85213472857
24825,4506.29353129918
5993,3460.54179956887
37665,5102.07029525847
18833,3579.20067860796
12841,5318.13660329072
19689,3324.27060735574
857,4148.28116061234
15409,5926.93579105744
38521,5731.54263199895
13697,5312.84838268202
7705,3830.90272029617
39377,5594.51513925077
20545,4144.5631882547
1713,4604.69590637906
16265,4752.84091180347
33385,5374.56861660093
27393,5378.75863330866
2569,5254.97868997414
40233,4881.48753852247
21401,4746.24907501114
35953,4475.78341565749
34241,4477.32066113897
3425,4862.2159836576
22257,3720.55949653705
9417,4907.81047802468
30817,3281.91819345509
10273,4474.96376717502
35097,4129.25976493027
23113,4328.04476498483
4281,4221.46790973914
14553,5101.02893477165
8561,4287.56945566439
29961,3082.75448409855
25681,5097.96448085581
5137,3810.45271713721
23969,4439.21679010698
36809,4910.80749269322
17977,3387.81902892043
26537,5906.01593386493
11985,4833.89150385656
6849,3499.45871256125
17121,3716.54047481259
29105,3873.27400686275
32529,4385.75018864082
11129,4448.3133768492
31673,3505.60991668604
28249,4818.77295633523
23970,7372.57371736622
1714,8998.81668623705
24826,8056.98736626734
18834,5590.98895709382
38522,9698.59231489851
5994,6225.17184939217
35954,7523.59964000997
2,7745.83752693623
39378,4381.02952397791
4282,3790.08292726893
29106,5919.2014458248
8562,6682.39035713282
9418,4124.65379556629
25682,9045.27523336432
19690,5266.58538029737
34242,4090.78351536479
16266,4823.21521512942
22258,3564.14783406984
26538,9619.54898021124
20546,5763.56985626307
10274,4010.50869903587
30818,5910.86261879074
37666,8169.18165347195
33386,4528.62775775377
14554,11314.8057325294
858,8136.65392740806
21402,4600.24423259795
2570,9490.30693721926
11130,7891.96571721509
5138,6108.20073730709
40234,4424.33626763767
32530,6233.86482620025
36810,7733.40618728543
11986,7825.60688885189
15410,4081.2614669587
35098,7240.9219056818
29962,4268.0398045869
23114,6866.92714964727
17978,5654.59122898359
31674,5937.14315854681
28250,4019.88105201783
6850,6181.71153949523
13698,9033.22244367222
27394,3931.69248989705
7706,6566.14835024052
17122,6253.43412913163
12842,8650.23482484792
3426,4450.28265541918
4283,5978.3311649374
23971,10478.4316392747
24827,10248.6486199958
1715,11003.0308107216
8563,9050.88465201819
5995,8058.79347211048
29107,9781.6710929541
38523,13867.7657679414
34243,7737.81097549184
22259,6715.32167387363
35955,10873.5439166854
3,9011.81197815717
20547,9324.53404167006
39379,5799.64153940088
16267,7805.52459007817
26539,13993.2656913123
23115,10747.1898962549
18835,8846.30958855259
25683,12247.7995135927
37667,12305.6063940736
859,10272.1644635095
17123,10237.9605361642
5139,8514.96465835988
19691,9180.03383830417
9419,3816.36034325759
7707,9225.90542580318
11987,10411.1592500257
10275,5549.81106105722
35099,10758.1017215865
33387,5243.81771243555
14555,14537.6947485327
21403,5301.69094437416
2571,12380.5481766748
11131,10066.3274409303
29963,7533.27194666101
15411,5340.77347521677
28251,7212.82591934316
32531,10900.9988405744
13699,12514.6639128937
36811,10199.2974160914
30819,9229.72518305963
40235,7411.50677887316
6851,8004.45005641947
12843,11150.9037408513
27395,5192.52611915149
17979,9394.77145916434
3427,3836.90426462556
31675,10457.73461564
860,7430.95110264124
24828,6835.4166871124
5996,5935.25199951339
4284,3502.12702879993
26540,8223.65495875823
23972,7668.64373423915
1716,8379.57141491976
28252,3393.08453413058
4,7542.18691649225
23116,5973.7425471998
37668,7646.79041512829
16268,4479.75571277441
35956,7372.13774700712
11132,6214.40417263722
19692,4850.38051261522
5140,5679.36957675019
22260,3145.94611624899
32532,6278.03904225141
11988,7565.15546928289
30820,5352.37051152793
39380,4160.68924023229
10276,2966.86841835729
33388,3663.18004417663
14556,9344.50356289606
40236,3902.81883220685
25684,7478.22668826062
6852,5250.94518248309
17124,5516.71355026255
34244,3370.54705118847
15412,4596.37118146449
3428,3922.73898385969
20548,5666.71281476646
9420,3769.46240450569
17980,6193.64534680579
21404,3871.01714433707
35100,5911.22346126133
7708,5725.01877448122
8564,6391.86335114707
29108,5084.8664917782
2572,9349.13032995553
29964,4110.70983111194
36812,6743.38359699028
38524,8709.43550431347
27396,3737.98035934177
